brand,model_name,OS,CPU,ram,storage,GPU,screen_size,screen_resolution,price,storage_type,ram_gb,ram_type,storage_gb,screen_size_inch,cpu_score,gpu_score,resolution_pixel
Asus,Asus Vivobook Pro 15 OLED,Windows 11 Home,Intel Core Ultra 9 185H,DDR5 8GB,1TB,NVIDIA Geforce RTX 4050,15.6 inch,3K (2880 x 1620),27999000,SSD,5,DDR5,1024,15.6,10.7,5.5,4665600
Asus,Asus Vivobook Pro 14x OLED,Windows 11 Home,AMD Ryzen 7 5800H Mobile Processor,DDR4 8GB,512GB,NVIDIA GeForce RTX 3050 Ti,14 inch,3K (2880 x 1800),14799000,SSD,4,DDR4,512,14.0,7.6,5.5,5184000
Asus,Asus Vivobook 14 (M1405),Windows 11 Home,AMD Ryzen 5 7430U,8GB DDR4,512GB,AMD Radeon Graphics,14 inch, WUXGA (1920 x 1200),8499000,SSD,8,DDR4,512,14.0,6.2,2.3,2304000
Asus,Asus Vivobook 14 (M1405),Windows 11 Home,AMD Ryzen 7 7730U,8GB DDR4,512GB,AMD Radeon Graphics,14 inch, WUXGA (1920 x 1200),9999999,SSD,8,DDR4,512,14.0,8.2,2.3,2304000
Asus,Asus Vivobook 14 (A1404),Windows 11 Home,Intel Core i3-1315U,8GB DDR4,512GB,Intel UHD Graphics,14 inch,FHD (1920 x 1080),7099000,SSD,8,DDR4,512,14.0,3.0,1.0,2073600
Asus,Asus Vivobook 14 (A1404),Windows 11 Home,Intel Core i7-1355U,8GB DDR4,1TB,Intel UHD Graphics,14 inch,FHD (1920 x 1080),12299000,SSD,8,DDR4,1024,14.0,7.0,1.0,2073600
Asus,Asus Gaming K16 (K3605),Windows 11 Home,Intel Core i7-13620H,8GB DDR4,512GB,NVIDIA GeForce RTX 3050,16 inch,WUXGA (1920 x 1200),12999000,SSD,8,DDR4,512,16.0,7.0,5.5,2304000
Asus,Asus Gaming K16 (K3605),Windows 11 Home,Intel Core i5-12500H,8GB DDR4,512GB,NVIDIA GeForce RTX 2050,16 inch,WUXGA (1920 x 1200),9299000,SSD,8,DDR4,512,16.0,5.0,5.5,2304000
Asus,Asus Gaming V16 (V3607VU),Windows 11 Home,Intel Core 5 Processor 210H,16GB DDR5,512GB,NVIDIA GeForce RTX 4050,18 inch,WUXGA (1920 x 1200),13499000,SSD,16,DDR5,512,18.0,6.0,5.5,2304000
Asus,Asus Vivobook S 14 Flip OLED (TP3402),Windows 11 Home,Intel Core i5-13500H,8GB DDR4,512GB, Intel Iris X Graphics,14 inch,3K (2880 x 1800),13799000,SSD,8,DDR4,512,14.0,5.0,1.5,5184000
Asus,Asus Vivobook S 14 Flip OLED (TP3402),Windows 11 Home,Intel Core i7-13700H,8GB DDR4,512GB, Intel Iris X Graphics,14 inch,3K (2880 x 1800),16899000,SSD,8,DDR4,512,14.0,7.0,1.5,5184000
Asus, Asus Vivobook Go 14 (E410),Windows 11 Home,Intel Celeron N4500,8GB DDR4,512GB,Intel UHD Graphics,14 inch,FHD (1920 x 1080),5249000,SSD,8,DDR4,512,14.0,0.5,1.0,2073600
Asus, Asus Vivobook Go 14 (E410),Windows 11 Home,Intel Celeron N4500,4GB DDR4,256GB,Intel UHD Graphics,14 inch,FHD (1920 x 1080),4599000,SSD,4,DDR4,256,14.0,0.5,1.0,2073600
Asus, Asus Vivobook Go 14 (E1404G),Windows 11 Home,Intel Core i3-N305,8 GB DDR4,256GB,Intel UHD Graphics,14 inch,FHD (1920 x 1080),6099000,SSD,8,DDR4,256,14.0,3.0,1.0,2073600
Asus,AsusVivobook Go 14 (E1404F),Windows 11 Home,AMD Ryzen 3 7320U,8GB DDR4,256GB,AMD Radeon Graphics,14 inch,FHD (1920 x 1080),6249000,SSD,8,DDR4,256,14.0,4.2,2.3,2073600
Asus,Asus Vivobook Go 15 OLED (E1504F), Windows 11 Home,AMD Ryzen 5 7520U,16GB LPDDR5,512GB,AMD Radeon Graphics,15.6 inch,FHD (1920 x 1080),8499000,SSD,16,DDR5,512,15.6,6.2,2.3,2073600
Asus,Asus Zenbook 14 OLED (UM3406HA),Windows 11 Home,AMD Ryzen 7 8840HS,16GB LPDDR5X,512GB,AMD Radeon Graphics,14 inch,WUXGA (1920 x 1200),15799000,SSD,16,DDR5,512,14.0,8.5,2.3,2304000
Asus,Asus Zenbook DUO (2024) UX8406,Windows 11 Home,Intel Core Ultra 7,16GB LPDDR5X,1TB,Intel Arc Graphics,14 inch,3K (2880 x 1800),30499000,SSD,16,DDR5,1024,14.0,8.0,1.0,5184000
Asus,Asus Zenbook DUO (2024) UX8406,Windows 11 Home,Intel Core Ultra 9,32GB LPDDR5X,2TB,Intel Arc Graphics,14 inch,3K (2880 x 1800),34899000,SSD,32,DDR5,2048,14.0,9.5,1.0,5184000
Lenovo,IdeaPad Slim 3,Windows 11 Home,AMD Ryzen 3 7320U,8GB DDR4,512GB,AMD Radeon Graphics,14 inch,FHD (1920 x 1080),6521174,SSD,8,DDR4,512,14.0,4.2,2.3,2073600
Lenovo,IdeaPad Slim 3,Windows 11 Home,AMD Ryzen 5 7530U,16GB DDR4,512GB,AMD Radeon Graphics,14 inch,FHD (1920 x 1080),8510966,SSD,16,DDR4,512,14.0,6.2,2.3,2073600
Lenovo,IdeaPad Slim 3,Windows 11 Home,AMD Ryzen 5 7530U,8GB DDR4,512GB,AMD Radeon Graphics,14 inch,FHD (1920 x 1080),8105638,SSD,8,DDR4,512,14.0,6.2,2.3,2073600
Lenovo,IdeaPad Slim 3i,Windows 11 Home,Intel Core 3 100U,8GB DDR5,512GB,Intel Graphics,14 inch,FHD (1920 x 1080),7839020,SSD,8,DDR5,512,14.0,2.5,1.0,2073600
Lenovo,IdeaPad Slim 3i,Windows 11 Home,Intel Core 3 100U,16GB DDR5,512GB,Intel Graphics,14 inch,WUXGA (1920 x 1200),9799020,SSD,16,DDR5,512,14.0,2.5,1.0,2304000
Lenovo,IdeaPad Slim 3i,Windows 11 Home,Intel Core i5 13420H,8GB DDR5,512GB,Intel UHD Graphics,14 inch,WUXGA (1920 x 1200),9250220,SSD,8,DDR5,512,14.0,5.45,1.0,2304000
Lenovo,IdeaPad Slim 3i,Windows 11 Home,Intel Core i5 13420H,16GB DDR5,512GB,Intel UHD Graphics,14 inch,WUXGA (1920 x 1200),11210220,SSD,16,DDR5,512,14.0,5.45,1.0,2304000
Lenovo,IdeaPad Slim 3,Windows 11 Home,AMD Ryzen 7 5700U,8GB DDR4,512GB,AMD Radeon Graphics,14 inch,FHD (1920 x 1080),8842598,SSD,8,DDR4,512,14.0,7.6,2.3,2073600
Lenovo,IdeaPad Slim 5,Windows 11 Home,AMD Ryzen 7 8845HS,16GB DDR5,512GB,AMD Radeon Graphics,14 inch,WUXGA OLED (1920 x 1200),13033020,SSD,16,DDR5,512,14.0,8.5,2.3,2304000
Lenovo,IdeaPad Slim 5,Windows 11 Home,AMD Ryzen 7 8845HS,32GB DDR5,512GB,AMD Radeon Graphics,14 inch,WUXGA OLED (1920 x 1200),16953020,SSD,32,DDR5,512,14.0,8.5,2.3,2304000
Lenovo,IdeaPad Slim 5i,Windows 11 Home,Intel Core Utra 5 225H,32GB DDR5,512GB,Intel Arc,14 inch,WUXGA OLED (1920 x 1200),17247020,SSD,32,DDR5,512,14.0,7.5,1.0,2304000
Lenovo,IdeaPad Pro 5,Windows 11 Home,AMD Ryzen AI 7 350,32GB LPDDR5,1TB,AMD Radeon Graphics,14 inch,2.8K OLED (2880 x 1800),17403820,SSD,32,DDR5,1024,14.0,8.0,2.3,5184000
Lenovo,IdeaPad Pro 5i,Windows 11 Home,Intel Core Ultra 7 255H,24GB LPDDR5x,1TB,Intel Arc,14 inch,2.8K OLED (2880 x 1800),18815020,SSD,24,DDR5,1024,14.0,9.5,1.0,5184000
Lenovo,Legion Pro 5i,Windows 11 Home,Intel Core Ultra 9,32GB DDR5,1TB,NVIDIA Geforce RTX 5070 Ti,16 inch,WQXGA (2560x1600),45999000,SSD,32,DDR5,1024,16.0,9.5,5.5,4096000
Lenovo,Yoga Slim 7x,Windows Home 11,Snapdragon X Elite X1E-78-100,16GB LPDDR5x,1TB,Integrated Qualcomm Adreno,14.5 inch,3K (2944x1840) ,19959000,SSD,16,DDR5,1024,14.5,9.4,,5416960
Lenovo,Yoga Slim 7i,Windows Home 11,Intel Core Ultra 5,16GB LPDDR5x,512GB,Integrated Intel Arc,14 inch,WUXGA (1920x1200),16399000,SSD,16,DDR5,512,14.0,6.0,1.0,2304000
Lenovo,Yoga Pro 7i,Windows Home 11,Intel Core Ultra 9,32GB LPDDR5x,1TB,Integrated Intel Arc,14.5 inch,3K (3000x1876),26699000,SSD,32,DDR5,1024,14.5,9.5,1.0,5628000
Axioo,Hype 1,Windows 11,Intel Celeron N4020,4GB DDR4,128GB,Intel UHD Graphics 600,14 inch,HD (1366 x 768),4399000,SSD,4,DDR4,128,14.0,0.5,1.0,1049088
Axioo,Hype 5,Windows 11,AMD Ryzen 5-6600H,16GB DDR5,512GB,AMD Radeon 660M,14 inch,FHD (1920x1200),7349000,SSD,16,DDR5,512,14.0,5.0,2.3,2073600
Axioo,Hype 5,Windows 11,AMD Ryzen 5 7430U,8GB DDR4,256GB,AMD Radeon,14 inch,FHD (1920x1200),6549000,SSD,8,DDR4,256,14.0,6.2,2.3,2073600
Axioo,Hype 3,Windows 11,Intel Core i3-1125G4,8GB DDR4,256GB,Intel UHD Graphics,14 inch,FHD (1920x1080),6449000,SSD,8,DDR4,256,14.0,3.0,1.0,2073600
Axioo,Hype 7,Windows 11,AMD Ryzen 7 8745HS,32GB DDR5,512GB,AMD Radeon 780M,14 inch,FHD (1920x1200),10899000,SSD,32,DDR5,512,14.0,8.5,2.3,2073600
Axioo,Hype R3 Flip,Windows 11,Intel Core i3-1215U,24GB LPDDR5,256GB,intel UHD Graphics,14 inch,FHD (1920x1200),9499000,SSD,24,DDR5,256,14.0,3.0,1.0,2073600
Axioo,Hype R5 Flip,Windows 11,Intel Core i5-1235U,24GB LPDDR5,512GB,Intel Iris Xe Graphics eligible,14 inch,FHD+ (1920x1200),11499000,SSD,24,DDR5,512,14.0,5.0,1.5,2073600
Axioo,Pongo 725,Windows 11,Intel Core i7-12650H,16GB DDR4,512GB,NVIDIA GeForce RTX 2050,15.6 inch,FHD (1920x1080),10249000,SSD,16,DDR4,512,15.6,7.0,5.5,2073600
Axioo,Pongo 960,Windows 11,Intel Core i9-13900H,32GB DDR4,1TB,NVIDIA GeForce RTX 4060,15.6 inch,FHD (1920x1080),20749000,SSD,32,DDR4,1024,15.6,9.0,5.5,2073600
Axioo,Pongo 750,Windows 11,Intel Core i7-13620H,16GB DDR4,512GB,NVIDIA GeForce RTX 4050,15.6 inch,FHD (1920x1080),15999000,SSD,16,DDR4,512,15.6,7.0,5.5,2073600
